futu_code,industry
SZ.000016,白色家电
SZ.000333,白色家电
SZ.000521,白色家电
SZ.000651,白色家电
SZ.000921,白色家电
SZ.001387,白色家电
SZ.002668,白色家电
SZ.200016,白色家电
SZ.200521,白色家电
SH.600336,白色家电
SH.600690,白色家电
SH.600983,白色家电
SZ.001309,半导体
SZ.002049,半导体
SZ.002077,半导体
SZ.002119,半导体
SZ.002156,半导体
SZ.002185,半导体
SZ.002213,半导体
SZ.002371,半导体
SZ.002409,半导体
SZ.003026,半导体
SZ.003043,半导体
SZ.300046,半导体
SZ.300053,半导体
SZ.300077,半导体
SZ.300223,半导体
SZ.300327,半导体
SZ.300373,半导体
SZ.300456,半导体
SZ.300458,半导体
SZ.300604,半导体
SZ.300613,半导体
SZ.300623,半导体
SZ.300661,半导体
SZ.300666,半导体
SZ.300671,半导体
SZ.300672,半导体
SZ.300706,半导体
SZ.300782,半导体
SZ.300831,半导体
SZ.301297,半导体
SZ.301308,半导体
SZ.301348,半导体
SZ.301369,半导体
SZ.301536,半导体
SZ.301611,半导体
SZ.301629,半导体
SZ.301666,半导体
SZ.301678,半导体
SH.600171,半导体
SH.600206,半导体
SH.600360,半导体
SH.600460,半导体
SH.600584,半导体
SH.600745,半导体
SH.600877,半导体
SH.603005,半导体
SH.603061,半导体
SH.603068,半导体
SH.603160,半导体
SH.603290,半导体
SH.603375,半导体
SH.603501,半导体
SH.603690,半导体
SH.603893,半导体
SH.603986,半导体
SH.603991,半导体
SH.605111,半导体
SH.605358,半导体
SH.688008,半导体
SH.688012,半导体
SH.688018,半导体
SH.688037,半导体
SH.688041,半导体
SH.688045,半导体
SH.688047,半导体
SH.688048,半导体
SH.688049,半导体
SH.688052,半导体
SH.688061,半导体
SH.688072,半导体
SH.688082,半导体
SH.688099,半导体
SH.688107,半导体
SH.688110,半导体
SH.688120,半导体
SH.688123,半导体
SH.688126,半导体
SH.688130,半导体
SH.688135,半导体
SH.688138,半导体
SH.688141,半导体
SH.688146,半导体
SH.688153,半导体
SH.688167,半导体
SH.688172,半导体
SH.688173,半导体
SH.688200,半导体
SH.688209,半导体
SH.688213,半导体
SH.688216,半导体
SH.688220,半导体
SH.688230,半导体
SH.688233,半导体
SH.688234,半导体
SH.688249,半导体
SH.688252,半导体
SH.688256,半导体
SH.688259,半导体
SH.688261,半导体
SH.688262,半导体
SH.688270,半导体
SH.688279,半导体
SH.688286,半导体
SH.688325,半导体
SH.688332,半导体
SH.688347,半导体
SH.688352,半导体
SH.688361,半导体
SH.688362,半导体
SH.688368,半导体
SH.688372,半导体
SH.688380,半导体
SH.688381,半导体
SH.688385,半导体
SH.688391,半导体
SH.688396,半导体
SH.688401,半导体
SH.688403,半导体
SH.688409,半导体
SH.688416,半导体
