futu_code,industry
HK.00007,消费电子产品
HK.00008,电讯服务
HK.00013,药品
HK.00020,数码解决方案服务
HK.00031,电子零件
HK.00038,重型机械
HK.00040,消费电子产品
HK.00042,工业零件及器材
HK.00046,互联网服务及基础设施
HK.00048,汽车零件
HK.00057,工业零件及器材
HK.00068,应用软件
HK.00076,工业零件及器材
HK.00082,互动媒体及服务
HK.00085,半导体
HK.00090,非传统/可再生能源
HK.00092,数码解决方案服务
HK.00096,工业零件及器材
HK.00099,电子零件
HK.00100,数码解决方案服务
HK.00103,商业用车及货车
HK.00110,消费性电讯设备
HK.00117,工业零件及器材
HK.00118,工业零件及器材
HK.00147,电脑及周边器材
HK.00148,工业零件及器材
HK.00154,环保工程
HK.00167,消费电子产品
HK.00175,汽车
HK.00176,消费电子产品
HK.00179,汽车零件
HK.00182,非传统/可再生能源
HK.00187,工业零件及器材
HK.00189,特殊化工用品
HK.00213,工业零件及器材
HK.00215,电讯服务
HK.00229,家庭电器
HK.00232,航空航天与国防
HK.00239,药品
HK.00241,药品分销
HK.00243,半导体设备与材料
HK.00248,数码解决方案服务
HK.00255,工业零件及器材
HK.00257,非传统/可再生能源
HK.00259,电子零件
HK.00268,应用软件
HK.00285,消费性电讯设备
HK.00286,医疗及医学美容服务
HK.00295,非传统/可再生能源
HK.00300,家庭电器
HK.00301,特殊化工用品
HK.00302,游戏软件
HK.00303,消费性电讯设备
HK.00305,汽车零件
HK.00314,药品分销
HK.00315,电讯服务
HK.00317,商业用车及货车
HK.00318,数码解决方案服务
HK.00320,工业零件及器材
HK.00327,电脑及周边器材
HK.00328,电脑及周边器材
HK.00334,电脑及周边器材
HK.00338,特殊化工用品
HK.00348,中医药
HK.00354,数码解决方案服务
HK.00360,汽车零件
HK.00362,特殊化工用品
HK.00365,工业零件及器材
HK.00372,特殊化工用品
HK.00383,医疗及医学美容服务
HK.00387,工业零件及器材
HK.00400,半导体
HK.00401,医疗及医学美容服务
HK.00408,特殊化工用品
