date,ticker,score,vol_ratio,return_pct,z_score,breakout,gap_pct,accum_days,sector,sic_description,sub_label
2025-09-12,PL,8.5,4.29,49.77,6.65,60d_high,17.99,4,Industrials,Radio & Tv Broadcasting & Communications Equipment,
2025-09-12,SNDK,8.0,2.18,25.65,2.78,60d_high,11.34,5,Technology,Computer Storage Devices,
2025-09-12,ORCL,8.0,5.33,25.62,5.04,60d_high,32.3,2,Technology,Services-Prepackaged Software,Enterprise & Vertical SaaS
2025-09-12,CNTA,8.0,2.52,38.65,5.8,60d_high,6.17,4,Healthcare,Pharmaceutical Preparations,Rare Disease & Gene Therapy
2025-09-12,NTNX,7.85,2.15,13.32,3.03,60d_high,3.39,4,Technology,Services-Prepackaged Software,Other Software
2025-09-12,CPNG,7.84,2.26,12.11,3.4,60d_high,3.36,3,Consumer Cyclical,Retail-Catalog & Mail-Order Houses,
2025-09-12,TECK,7.5,3.3,22.27,3.94,20d_high,15.9,3,Basic Materials,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),
2025-09-12,WBD,7.5,2.39,55.82,8.9,60d_high,8.41,2,Communication Services,Cable & Other Pay Television Services,
2025-09-12,DNTH,7.0,6.92,40.23,4.44,60d_high,1.61,4,Healthcare,Pharmaceutical Preparations,Immunology & Inflammation
2025-09-12,NBIS,7.0,3.72,38.09,3.37,60d_high,51.73,1,Technology,"Services-Computer Programming, Data Processing, Etc.",Internet Platforms & Social Media
2025-09-12,SPHR,6.5,2.76,19.28,3.18,60d_high,1.1,4,Communication Services,Services-Amusement & Recreation Services,
2025-09-12,GLW,6.5,2.56,8.28,1.78,60d_high,1.92,5,Technology,Drawing & Insulating of  Nonferrous Wire,
2025-09-12,GME,6.5,2.55,10.26,2.6,20d_high,6.85,4,Consumer Cyclical,Retail-Computer & Computer Software Stores,
2025-09-12,BABA,6.29,1.89,14.37,2.16,60d_high,3.17,4,Consumer Cyclical,"Services-Business Services, NEC",E-Commerce & Digital Marketplace
2025-09-12,WIX,6.0,3.26,12.1,1.93,60d_high,0.32,4,Technology,"Services-Computer Programming, Data Processing, Etc.",Internet Platforms & Social Media
2025-09-12,BIDU,6.0,2.01,12.57,2.23,60d_high,7.53,1,Communication Services,"Services-Computer Programming, Data Processing, Etc.",Internet Platforms & Social Media
2025-09-12,BTSG,5.5,2.37,9.61,1.78,60d_high,1.91,4,Healthcare,Services-Home Health Care Services,
2025-09-12,CIFR,5.5,1.34,44.28,3.33,60d_high,5.85,2,Technology,Finance Services,Capital Markets & Platforms
2025-09-12,FER,5.5,2.27,3.3,1.35,60d_high,1.24,5,Industrials,Heavy Construction Other Than Bldg Const - Contractors,
2025-09-12,HL,5.5,1.7,24.3,2.85,60d_high,4.72,4,Basic Materials,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),
2025-09-12,MU,5.5,1.42,19.72,3.31,60d_high,5.52,2,Technology,Semiconductors & Related Devices,Memory & Storage ICs
2025-09-12,HYMC,5.09,2.16,16.18,1.47,60d_high,2.36,4,Basic Materials,Gold and Silver Ores,Gold Mining
2025-09-12,RVMD,5.0,1.14,14.94,3.12,60d_high,6.06,1,Healthcare,"Biological Products, (No Diagnostic Substances)",Oncology Biologics
2025-09-12,NTES,5.0,0.98,13.86,3.94,60d_high,4.94,1,Communication Services,Services-Prepackaged Software,Gaming & Interactive Entertainment
2025-09-12,AXTI,5.0,2.33,17.68,1.39,60d_high,4.5,2,Technology,Semiconductors & Related Devices,"Foundry, OSAT & Substrates"
