date,count,tickers
2025-09-12,117,"PL,SNDK,ORCL,CNTA,NTNX,CPNG,TECK,WBD,DNTH,NBIS,SPHR,GLW,GME,BABA,WIX,BIDU,BTSG,CIFR,FER,HL,MU,HYMC,RVMD,NTES,AXTI,IREN,JD,BHF,VNET,ATRO,KC,HUT,APP,ONDS,ROIV,SATS,APLD,CRDO,TVTX,CRWV,LUMN,CENX,IONQ,AVGO,GFI,TSM,GDS,RIOT,AAUC,AG,LITE,VIPS,RMBS,LYFT,MS,APH,EPR,MKSI,STNG,LRCX,TSLA,UNH,QTWO,IAG,PUK,EDU,AU,ING,MLYS,ERO,HSBC,RGTI,LYV,BILI,GLXY,CORZ,DLR,NKTR,CRC,BE,SU,QS,SEI,LIF,FIX,FSM,FTI,FTDR,WT,GLPI,DBRG,ABBV,TRU,EGO,ALAB,JPM,B,CGAU,RKT,CNK,IMO,GS,OLN,YOU,WULF,BCS,LAUR,IMAX,SOC,TLN,SIMO,HSAI,OTEX,ASX,BX,CVS,EVR"
2025-09-15,126,"SNDK,BILI,ORCL,WBD,TECK,NBIS,GME,RMBS,SA,GLW,SPHR,AXTI,IREN,DNTH,BABA,IONQ,ROIV,CIFR,VNET,WIX,HUT,MU,HYMC,PL,OTF,LITE,CRWV,CENX,ATRO,CNTA,SEI,TSLA,ETN,RIOT,BTSG,RVMD,APLD,DLR,LYFT,OKLO,TVTX,OTEX,CRC,AAOI,BE,IAG,AG,STX,IRM,JPM,MS,APH,PONY,EPR,CIEN,EQX,KC,HL,SU,VST,PUK,WDC,ASML,ING,RDDT,GFI,CCJ,UUUU,HSBC,RGTI,IBRX,AAUC,GLXY,CORZ,CGAU,IMO,ORLA,CVE,FSLY,ONTO,CDE,LRCX,LI,TSM,GDS,WRD,FIX,SLG,ERO,NRG,VIPS,NTES,ABBV,STRL,EGO,LHX,CRDO,BXP,MFC,ALAB,RKT,GS,FER,NTNX,JD,YOU,BVN,CPNG,LYG,BCS,LAUR,MTZ,BHF,VRT,TLN,COCO,ZWS,HD,BX,CNQ,EVR,KLAC,AVGO,GOOG,GOOGL,ARM"
2025-09-16,106,"SNDK,WBD,ORCL,RMBS,GME,SPHR,IONQ,SA,GLW,SEI,AXTI,PACS,TSLA,BILI,BE,HYMC,OTF,LITE,CENX,ATRO,MU,BIDU,SLG,CGON,LHX,BXP,OKLO,TVTX,DNTH,PAGS,ONTO,IAG,ETN,WDC,GDS,PL,AG,IREN,STX,BTSG,RVMD,STLD,IMO,LYFT,JD,APA,MKSI,KYMR,ITT,CVE,AAOI,SU,LRCX,CIFR,CLSK,KLIC,APLD,BABA,HUT,ASML,ING,TKO,NTES,FERG,KTOS,DLR,PBA,LAUR,VNET,CRC,CNQ,AVAV,NIO,FIX,SCCO,ACLX,ABBV,CRDO,GE,ALAB,SOBO,RKT,FIGS,REZI,FER,MTZ,NE,BN,TLN,FSLY,CMI,SIMO,ZWS,MUR,OTEX,HD,BX,CIEN,EQX,WIX,AMKR,HL,EVR,CDE,KLAC,AVGO"
2025-09-17,88,"SNDK,WBD,LYFT,BIDU,RMBS,IONQ,PACS,GDS,OTF,CGON,BABA,SPHR,SA,ROIV,AMPX,TSLA,FSLY,BE,HYMC,SEI,PDD,BILI,QBTS,VNET,TNGX,MU,NIO,JD,PSN,AXTI,GLW,OKLO,PONY,PAGS,NWS,DHT,ASML,TKO,KYMR,STX,RVMD,ABBV,RGTI,ACMR,COCO,ALLY,CENX,SNPS,KLIC,PL,HUT,NTES,KTOS,GLXY,LAUR,BTU,CRC,CAT,LRCX,LI,ADBE,WDC,PFGC,WRD,DNTH,FOX,CAMT,FERG,CLSK,SOBO,PBA,REZI,FER,ENTG,MKSI,ITT,ONTO,OTEX,CIEN,NWSA,KC,WIX,AMKR,HL,PTCT,AMX,GME,RBA"
2025-09-18,100,"LYFT,IONQ,BIDU,SNDK,RGTI,CAMT,RMBS,OTF,FSLY,CGON,CLSK,PACS,QBTS,ONTO,TNGX,TSLA,ENTG,OKLO,AMPX,AXTI,SA,BILI,NKTR,KLIC,BE,CRWD,ASML,INTC,SEI,ADBE,SPHR,MARA,JD,FORM,MKSI,NIO,BEAM,WDC,KYMR,TKO,ACMR,STX,ROIV,RDN,EYE,GLW,PONY,PAGS,BTU,UCTT,CAT,AMKR,KLAC,AMAT,LRCX,ACLS,BABA,AVAV,HUT,MPWR,TAC,STLD,FERG,KTOS,CGAU,AAON,ALLY,CRC,CORT,NVO,SNPS,MU,WBD,JEF,LASR,PL,PUK,STRL,ERAS,FOLD,CRDO,ACM,MIR,BXP,GE,RDNT,SOBO,VSEC,CVI,REZI,TTMI,TSEM,STEP,SLDE,OTEX,CHRW,WIX,QS,NWS,APP"
2025-09-19,131,"RMBS,LYFT,PONY,SNDK,SEI,RGTI,IONQ,BIDU,OKLO,B,CLSK,ONTO,SMR,CRWD,RDN,QBTS,TNGX,INTC,MKSI,AMPX,FSLY,SA,ROIV,CAMT,FERG,BE,ASML,AXTI,HMY,ACMR,STX,REZI,ACM,KTOS,EYE,CORT,NWS,CDE,APP,WRD,SKE,WDC,KYMR,LEU,JD,CCJ,FORM,CGAU,BHF,LSCC,STEP,BTU,KLIC,AMAT,KVYO,NIO,ACLS,BEAM,FLNC,UUUU,MARA,CVLT,CGON,STRL,FOLD,NXE,PACS,BVN,AEIS,NKTR,PAGS,JXN,QRVO,CRC,CAT,OR,KLAC,LRCX,LASR,SOFI,AVAV,MPWR,TAC,STLD,GE,BILI,AAON,LMND,GTX,FNV,SLDE,RGLD,NWSA,SWKS,AXP,GOOG,GOOGL,TSLA,JOBY,CDNS,JEF,SPHR,BABA,PL,IREN,RYAN,GFI,SCCO,ERAS,PSN,CRDO,MIR,RDNT,IBRX,WYNN,AEM,CVI,GLW,TTMI,BN,UCTT,CM,BMNR,CIEN,EXK,CHRW,WIX,AMKR,QS,RBA,SNPS"
2025-09-22,140,"CLSK,SEI,FORM,RGTI,CAMT,BIDU,B,AXTI,PONY,QRVO,IONQ,OKLO,QBTS,STEP,ONTO,EXK,SWKS,FLNC,ACMR,RMBS,LYFT,HMY,CORT,AMAT,INTC,MKSI,SA,ROIV,FERG,CVI,LSCC,ES,BE,CRWD,SNDK,ACLS,CGAU,LEU,TER,FOLD,KTOS,AMPX,BHF,NKTR,WDAY,APP,LRCX,SOUN,OLED,KYMR,CIFR,REZI,RDN,AG,JBL,EYE,GPCR,SVM,BVN,COCO,JXN,KLIC,UCTT,TNGX,SKE,AMKR,CDE,SNPS,ASML,KVYO,JEF,BEAM,SMR,MDU,MARA,AEM,WDC,STRL,IREN,PACS,AEIS,SLDE,HOLX,CRUS,CAT,KLAC,AAPL,SBSW,WRD,NBIS,PTGX,AVAV,APLD,MPWR,IAG,TAC,CGON,SEDG,GTX,TTMI,BTU,RIVN,STX,GDS,VNET,LASR,NIO,INTU,PATH,PL,BABA,SSRM,EWTX,KGC,VERA,LUMN,NEM,GFI,PSLV,UMC,PSN,ADEA,MIR,FDX,GE,ACHC,SGHC,NVTS,AAON,ACIW,APH,UEC,TSEM,VG,PAGS,UBER,WIX,NWS,AXP,QQQ"
2025-09-23,142,"RGTI,CAMT,ACMR,PONY,CLSK,QBTS,AMAT,SA,OKLO,B,HMY,STEP,CXT,ONTO,EXK,ES,AXTI,BVN,IONQ,CORT,SNDK,MDU,SEI,CGAU,FORM,INTC,SRE,SOUN,FLNC,WELL,RMBS,JXN,SWKS,CRWD,ASTS,OR,OLED,LEU,MCK,AEM,NEM,TER,JBL,SVM,GTX,TTMI,BHF,LSCC,BIDU,WDAY,APP,MKSI,SBSW,TSM,AAUC,ROIV,STRL,RDN,AG,AMPX,BKD,EYE,LYFT,NKTR,COCO,QRVO,HOLX,CDE,LRCX,ONDS,JEF,ACLS,FOX,CIFR,UUUU,AVAV,FNV,KGC,KTOS,IMNM,NXE,IREN,UEC,AEIS,BTU,CRUS,CAT,KLAC,ASML,BE,PAAS,SMR,KYMR,NBIS,PTGX,PL,APLD,IAG,REZI,HAL,DTM,CEF,SLDE,STX,NSC,AMKR,AAPL,SNPS,AMGN,LASR,FOXA,AGI,INTU,LUMN,GFI,RPRX,WDC,PSLV,CAE,UMC,PRIM,FDX,ACHC,SGHC,CVI,GPCR,NVTS,AAON,ACIW,APH,IR,TSEM,KNTK,VG,KLIC,UCTT,ORI,QS,AMX,AXP,QQQ,MU"
2025-09-24,133,"FLNC,RGTI,CLSK,BVN,OKLO,B,CAMT,AXTI,STEP,ES,INTC,PONY,SCCO,IMNM,HMY,EWTX,ONTO,SA,SRE,MDU,MCK,AMAT,QBTS,ACMR,UEC,BHF,IONQ,CORT,XEL,ASTS,SNDK,OLED,SEI,CGAU,FORM,TER,RDN,BKD,IREN,SVM,COR,CXT,EXK,APP,SBSW,TSM,LEU,AG,ACHC,GPCR,BTU,SWKS,MKSI,ERO,AVAV,AAUC,NEM,LBRT,HAL,WDC,STRL,CAE,KTOS,TGB,EYE,PSX,NI,GTX,AROC,TTMI,LSCC,JXN,QRVO,VNET,NSC,KLAC,ASML,MU,SOUN,MRVL,PWR,NBIS,GDS,UNP,UMC,JBL,CIFR,AAON,HBM,AEIS,NKTR,SLDE,CF,RIVN,CRK,AMKR,CRWD,AAPL,SNPS,WRD,UUUU,LRCX,ONDS,ACLS,SMR,PL,IAG,GFI,UHS,PSLV,ERAS,RIOT,FOLD,NFG,FDX,DTM,CVI,BABA,RMBS,NXE,GIS,APH,WMB,LAUR,VG,CVE,UCTT,PTGX,ORI,CRUS,CDE,BKR,QQQ"
2025-09-25,100,"FLNC,BVN,BHF,SA,B,AXTI,PONY,SCCO,HMY,ES,RGTI,PSLV,ACMR,EXK,XEL,MDU,SNX,AG,PSX,IREN,OKLO,CLSK,SVM,UEC,ONTO,VNET,SBSW,SRE,MCK,IAG,TER,TGB,CXT,CRK,SEI,APP,UUUU,OR,BHP,NEM,LIF,HAL,GDS,WELL,NFG,KTOS,ACHC,AROC,LEU,CEF,BTU,NG,CDE,AAPL,ASTS,ONDS,QBTS,ERO,MRVL,FNV,VLO,EC,UNP,CAE,IMNM,HBM,WMB,JXN,CF,EVRG,WRD,SLDE,TSM,NBIS,CGAU,SSRM,AAUC,LBRT,IBM,PHYS,EQT,CAMT,DTM,BKD,CVI,BABA,RIO,NXE,GPCR,LAUR,SRRK,MPC,VG,PL,OLED,ORI,NSC,KC,KGS,BKR"
