market,sector,month,pe_n,pe_mean,pe_median,pb_n,pb_mean,pb_median,ps_n,ps_mean,ps_median
CN,CN_IT服务Ⅱ,2018-01,19,60.94,48.77,20,4.75,4.22,20,6.42,4.4
CN,CN_IT服务Ⅱ,2018-02,19,83.7,46.95,20,4.62,4.13,20,5.82,3.89
CN,CN_IT服务Ⅱ,2018-03,19,92.74,53.43,20,5.37,4.25,20,6.7,4.66
CN,CN_IT服务Ⅱ,2018-04,19,108.8,55.41,20,5.07,3.86,20,6.4,4.33
CN,CN_IT服务Ⅱ,2018-05,19,96.66,52.2,20,4.69,3.52,20,5.89,4.7
CN,CN_IT服务Ⅱ,2018-06,19,83.34,48.14,20,4.22,2.92,20,5.29,3.87
CN,CN_IT服务Ⅱ,2018-07,19,82.03,46.49,20,3.97,3.07,20,4.86,3.95
CN,CN_IT服务Ⅱ,2018-08,19,63.1,45.65,20,3.88,2.94,20,4.68,3.67
CN,CN_IT服务Ⅱ,2018-09,19,60.57,43.42,20,3.71,2.87,20,4.46,3.62
CN,CN_IT服务Ⅱ,2018-10,19,52.56,38.85,20,3.11,2.38,20,3.78,2.87
CN,CN_IT服务Ⅱ,2018-11,19,54.97,39.07,20,3.24,2.48,20,3.97,3.12
CN,CN_IT服务Ⅱ,2018-12,19,53.47,38.31,20,3.17,2.37,20,3.92,3.23
CN,CN_IT服务Ⅱ,2019-01,19,51.46,37.33,20,2.97,2.28,20,3.85,2.87
CN,CN_IT服务Ⅱ,2019-02,19,63.27,43.49,20,3.77,2.78,20,4.64,3.14
CN,CN_IT服务Ⅱ,2019-03,19,85.77,55.82,20,4.26,3.01,20,5.19,3.67
CN,CN_IT服务Ⅱ,2019-04,20,79.34,50.39,20,3.99,3.3,20,4.67,3.17
CN,CN_IT服务Ⅱ,2019-05,19,73.66,48.72,20,3.82,3.27,20,4.42,3.05
CN,CN_IT服务Ⅱ,2019-06,19,70.13,46.62,20,3.74,3.11,20,4.32,3.14
CN,CN_IT服务Ⅱ,2019-07,19,68.09,45.9,20,3.68,2.89,20,4.22,2.99
CN,CN_IT服务Ⅱ,2019-08,19,69.62,46.46,20,3.83,2.98,20,4.27,2.97
CN,CN_IT服务Ⅱ,2019-09,18,60.5,47.0,20,3.85,3.04,20,4.31,2.96
CN,CN_IT服务Ⅱ,2019-10,18,56.12,49.03,20,3.95,3.07,20,4.33,2.97
CN,CN_IT服务Ⅱ,2019-11,17,57.97,44.96,20,3.91,2.9,20,4.27,2.91
CN,CN_IT服务Ⅱ,2019-12,18,62.94,48.6,21,4.05,3.01,21,5.71,3.19
CN,CN_IT服务Ⅱ,2020-01,18,70.74,51.69,21,4.66,3.76,21,6.72,4.01
CN,CN_IT服务Ⅱ,2020-02,18,74.31,57.53,21,4.94,4.08,21,6.36,4.49
CN,CN_IT服务Ⅱ,2020-03,19,67.43,52.53,21,4.27,3.69,21,5.57,3.38
CN,CN_IT服务Ⅱ,2020-04,20,106.15,58.99,21,4.47,3.8,21,5.98,3.98
CN,CN_IT服务Ⅱ,2020-05,20,106.36,54.54,21,4.35,3.57,21,6.04,3.76
CN,CN_IT服务Ⅱ,2020-06,20,125.75,61.8,21,4.82,3.8,21,6.84,4.1
CN,CN_IT服务Ⅱ,2020-07,21,123.52,64.6,22,5.31,4.1,22,7.56,4.1
CN,CN_IT服务Ⅱ,2020-08,21,119.69,60.73,22,5.15,4.13,22,7.27,4.23
CN,CN_IT服务Ⅱ,2020-09,21,76.76,50.43,23,4.26,3.63,23,6.91,3.93
CN,CN_IT服务Ⅱ,2020-10,21,93.85,59.16,23,4.09,3.31,23,6.65,3.65
CN,CN_IT服务Ⅱ,2020-11,20,90.86,48.63,23,4.04,3.24,23,6.34,3.68
CN,CN_IT服务Ⅱ,2020-12,22,149.44,49.06,23,3.62,2.71,23,5.7,3.41
CN,CN_IT服务Ⅱ,2021-01,22,131.32,47.33,23,3.43,2.6,23,5.48,3.47
CN,CN_IT服务Ⅱ,2021-02,22,134.58,47.95,23,3.4,2.8,23,5.19,3.2
CN,CN_IT服务Ⅱ,2021-03,23,118.92,36.56,23,3.3,2.58,23,5.04,3.39
CN,CN_IT服务Ⅱ,2021-04,23,75.35,37.43,23,3.18,2.54,23,4.78,2.7
CN,CN_IT服务Ⅱ,2021-05,19,63.15,38.64,23,3.5,2.67,23,5.2,3.15
CN,CN_IT服务Ⅱ,2021-06,19,66.54,37.81,23,3.66,2.83,23,5.48,3.04
CN,CN_IT服务Ⅱ,2021-07,19,59.51,39.09,23,3.35,2.43,23,4.9,2.8
CN,CN_IT服务Ⅱ,2021-08,19,61.06,42.78,23,3.33,2.36,23,5.14,4.13
CN,CN_IT服务Ⅱ,2021-09,19,62.35,42.33,23,3.35,2.3,23,5.13,3.52
CN,CN_IT服务Ⅱ,2021-10,21,64.42,42.85,24,3.35,2.17,24,4.87,3.15
CN,CN_IT服务Ⅱ,2021-11,22,72.16,48.72,25,4.19,2.59,25,5.68,3.88
CN,CN_IT服务Ⅱ,2021-12,22,74.3,53.44,25,3.62,2.5,25,5.9,4.19
CN,CN_IT服务Ⅱ,2022-01,22,74.78,48.24,25,3.51,2.43,25,5.89,4.29
